TenantId,TenantName,ChannelId,PortalId,SiteDomain,MicroSiteDomain
100216,独立授权系统管理,560000108,10021604,sysmanage001.zhuanye.cn,100216test.wechatdevmzhiye.beisencorp.com
101126,bisettest001,560000213,101126,bisettest001.zhuanye.cn,101126test.wechatdevmzhiye.beisencorp.com
100082,recruitaccount,560000063,10008200,recruitaccount10008200.zhuanye.cn,NULL
100082,recruitaccount,560000065,10008202,,recruitaccountb.wechatdevmzhiye.beisencorp.com
100082,recruitaccount,560000103,10008201,recruitaccounta.zhuanye.cn,recruitaccounta.wechatdevmzhiye.beisencorp.com
